Data,Hora,Valor_LDR,Valor_Umidade
2024-09-21,18:16:18,3,14
2024-09-21,18:16:28,4,15
2024-09-21,18:16:38,4,14
2024-09-21,18:16:48,3,14
2024-09-21,18:16:58,4,14
2024-09-21,18:17:08,4,14
2024-09-21,18:17:18,3,14
2024-09-21,18:17:28,3,14
2024-09-21,18:17:38,4,14
2024-09-21,18:17:48,4,14
2024-09-21,18:17:58,3,15
2024-09-21,18:18:08,3,14
2024-09-21,18:18:18,4,14
2024-09-21,18:18:28,4,14
2024-09-21,18:18:38,3,15
2024-09-21,18:18:48,3,14
2024-09-21,18:18:58,4,14
2024-09-21,18:19:08,3,14
2024-09-21,18:19:18,3,14
2024-09-21,18:19:28,4,15
2024-09-21,18:19:38,3,14
2024-09-21,18:19:48,3,14
2024-09-21,18:19:58,3,14
2024-09-21,18:20:08,3,14
2024-09-21,18:20:18,3,15
2024-09-21,18:20:28,4,14
2024-09-21,18:20:38,4,14
2024-09-21,18:20:48,3,14
2024-09-21,18:20:58,3,14
2024-09-21,18:21:08,3,15
2024-09-21,18:21:18,4,14
2024-09-21,18:21:28,3,14
2024-09-21,18:21:38,4,14
2024-09-21,18:21:48,3,14
2024-09-21,18:21:58,3,15
2024-09-21,18:22:08,4,14
2024-09-21,18:22:18,3,14
2024-09-21,18:22:28,3,14
2024-09-21,18:22:38,3,15
2024-09-21,18:22:48,4,14
2024-09-21,18:22:58,3,14
2024-09-21,18:23:08,4,14
2024-09-21,18:23:18,4,14
2024-09-21,18:23:28,4,15
2024-09-21,18:23:38,3,14
2024-09-21,18:23:48,4,14
2024-09-21,18:23:59,3,14
2024-09-21,18:24:08,3,15
2024-09-21,18:24:18,3,14
2024-09-21,18:24:28,6,14
2024-09-21,18:24:38,3,14
2024-09-21,18:24:48,3,14
2024-09-21,18:24:58,4,15
2024-09-21,18:26:38,3,211
2024-09-21,18:26:48,3,215
2024-09-21,18:26:58,3,219
2024-09-21,18:27:08,5,222
